scientific_name,longitude,latitude
Pinus bhutanica,98.325951,28.088079
Pinus bhutanica,98.266602,27.880899
Pinus bhutanica,98.411111,27.910556
Pinus bhutanica,98.333618,28.067781
Pinus bhutanica,98.3752,27.893
Pinus bhutanica,98.4111,27.9106
Pinus bhutanica,98.411111,27.910556
Pinus bhutanica,98.41106,27.9106
Pinus bhutanica,98.41106,27.9106
Pinus bhutanica,90.140831,27.331112
Pinus bhutanica,89.637764,27.47226
Pinus bhutanica,91.875465,27.414785
Pinus bhutanica,91.2,27.266667
Pinus bhutanica,89.8,27.5
Pinus bhutanica,89.8,27.5
Pinus bhutanica,89.8,27.5
Pinus bhutanica,89.8,27.516667
Pinus bhutanica,89.8,27.516667
Pinus bhutanica,91.2,27.266667
Pinus bhutanica,98.333611,28.067778
Pinus bhutanica,89.8,27.516667
Pinus bhutanica,89.8,27.516667
Pinus bhutanica,89.8,27.516667
Pinus bhutanica,89.8,27.5
Pinus densata,102.03,30.05
Pinus densata,102.17,29.22
Pinus densata,103.6,32.6
Pinus densata,102.98,34.12
Pinus densata,103.33,31.22
Pinus densata,102.03,30.05
Pinus densata,99.63,27.9
Pinus densata,100.33,27.17
Pinus densata,102.03,30.05
Pinus densata,102.03,30.05
Pinus densata,93.2,29.05
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.364372,30.99903
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,101.96483,30.055305
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,101.507299,29.000343
Pinus densata,103.267,31.084
Pinus densata,101.507299,29.000343
Pinus densata,103.267,31.084
Pinus densata,103.267,31.084
Pinus densata,101.96483,30.055305
Pinus densata,103.267,31.084
Pinus densata,101.507299,29.000343
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,103.267,31.084
Pinus densata,101.96483,30.055305
Pinus densata,102.234618,29.914155
Pinus densata,103.267,31.084
Pinus densata,99.79929,28.932073
Pinus densata,99.79929,28.932073
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,101.96483,30.055305
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,99.79929,28.932073
Pinus densata,99.79929,28.932073
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,102.234618,29.914155
Pinus densata,99.79929,28.932073
Pinus densata,100.298406,29.037008
Pinus densata,100.298406,29.037008
Pinus densata,101.507299,29.000343
Pinus densata,99.286333,28.713041
Pinus densata,100.298406,29.037008
Pinus densata,102.063825,31.476274
Pinus densata,101.96483,30.055305
Pinus densata,101.507299,29.000343
Pinus densata,100.311366,30.93917
Pinus densata,101.507299,29.000343
Pinus densata,100.298406,29.037008
Pinus densata,100.298406,29.037008
Pinus densata,100.311366,30.93917
Pinus densata,100.298406,29.037008
Pinus densata,100.311366,30.93917
Pinus densata,102.063825,31.476274
Pinus densata,102.063825,31.476274
Pinus densata,99.286333,28.713041
Pinus densata,100.298406,29.037008
Pinus densata,99.286333,28.713041
Pinus densata,102.063825,31.476274
Pinus densata,100.311366,30.93917
Pinus densata,101.96483,30.055305
Pinus densata,100.298406,29.037008
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,100.298406,29.037008
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,102.364372,30.99903
Pinus densata,100.298406,29.037008
Pinus densata,102.364372,30.99903
Pinus densata,102.990174,32.061655
Pinus densata,102.364372,30.99903
Pinus densata,103.59895,32.637983
Pinus densata,102.961829,33.57587
Pinus densata,102.364372,30.99903
Pinus densata,103.59895,32.637983
Pinus densata,103.59895,32.637983
Pinus densata,100.978754,32.265516
Pinus densata,99.706013,27.82308
Pinus densata,100.978754,32.265516
Pinus densata,103.59895,32.637983
Pinus densata,98.911543,28.48611
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,98.911543,28.48611
Pinus densata,98.911543,28.48611
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,102.546111,30.911944
Pinus densata,101.96483,30.055305
Pinus densata,102.234618,29.914155
Pinus densata,101.96483,30.055305
Pinus densata,102.234618,29.914155
Pinus densata,103.853481,31.68115
Pinus densata,103.853481,31.68115
Pinus densata,96.065,29.7372
Pinus densata,98.91722,28.6425
Pinus densata,101.96483,30.055305
Pinus densata,99.706013,27.82308
Pinus densata,101.96483,30.055305
Pinus densata,103.267,31.084
Pinus densata,103.59895,32.637983
Pinus densata,103.267,31.084
Pinus densata,101.96483,30.055305
Pinus densata,101.96483,30.055305
Pinus densata,103.59895,32.637983
Pinus densata,103.59895,32.637983
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
