"key","Name","lat","long","speciesKey.x","Name_new"
1426146130,"Pinus armandii Franch.",26.553333,98.918611,5285203,"Pinus armandii"
1426147224,"Pinus armandii Franch.",27.781944,98.474444,5285203,"Pinus armandii"
1426158187,"Pinus armandii var. armandii",27.631948,98.657501,5285203,"Pinus armandii"
1426166235,"Pinus armandii Franch.",27.765833,98.603333,5285203,"Pinus armandii"
1426188123,"Pinus armandii var. armandii",27.707222,98.545273,5285203,"Pinus armandii"
147046913,"Pinus armandii Franch.",27.8928,98.375,5285203,"Pinus armandii"
147047010,"Pinus armandii var. armandii",27.6319,98.6575,5285203,"Pinus armandii"
147047046,"Pinus armandii var. armandii",27.7072,98.5453,5285203,"Pinus armandii"
147047047,"Pinus armandii var. armandii",27.7072,98.5453,5285203,"Pinus armandii"
147047112,"Pinus armandii Franch.",27.7656,98.6031,5285203,"Pinus armandii"
147047129,"Pinus armandii Franch.",27.9983,98.6194,5285203,"Pinus armandii"
147047187,"Pinus armandii Franch.",27.7572,98.5781,5285203,"Pinus armandii"
147047188,"Pinus armandii Franch.",27.7572,98.5781,5285203,"Pinus armandii"
147047405,"Pinus armandii Franch.",27.7581,98.5775,5285203,"Pinus armandii"
1676039275,"Pinus armandii Franch.",28.2748,99.1825,5285203,"Pinus armandii"
1851920967,"Pinus armandii Franch.",27.02611,100.20208,5285203,"Pinus armandii"
1851921494,"Pinus armandii Franch.",27.02611,100.20208,5285203,"Pinus armandii"
1998624991,"Pinus armandii Franch.",27.707222,98.545278,5285203,"Pinus armandii"
2417289296,"Pinus armandii Franch.",34.69,103.35,5285203,"Pinus armandii"
2417294217,"Pinus armandii Franch.",33.26,104.23,5285203,"Pinus armandii"
2417305584,"Pinus armandii Franch.",29,101.5,5285203,"Pinus armandii"
2417306876,"Pinus armandii Franch.",29,101.5,5285203,"Pinus armandii"
2417314227,"Pinus armandii Franch.",27.48,88.9,5285203,"Pinus armandii"
2417496012,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417496836,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417498610,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417499292,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417499446,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417500586,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417501130,"Pinus armandii Franch.",28.66,97.46,5285203,"Pinus armandii"
2417508367,"Pinus armandii Franch.",30.99,102.36,5285203,"Pinus armandii"
2417565538,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417566001,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417567702,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417567954,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417569300,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417569601,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417571069,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417571407,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417571514,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417572067,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417574306,"Pinus armandii Franch.",30.05,101.96,5285203,"Pinus armandii"
2417646819,"Pinus armandii Franch.",29.63,94.36,5285203,"Pinus armandii"
2417650989,"Pinus armandii Franch.",29.63,94.36,5285203,"Pinus armandii"
2417652455,"Pinus armandii Franch.",29.63,94.36,5285203,"Pinus armandii"
2417652504,"Pinus armandii Franch.",29.63,94.36,5285203,"Pinus armandii"
2417653248,"Pinus armandii Franch.",29.63,94.36,5285203,"Pinus armandii"
2417688615,"Pinus armandii Franch.",31.08,103.26,5285203,"Pinus armandii"
2417700212,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417700286,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417700428,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417700676,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417701534,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417701622,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417703015,"Pinus armandii Franch.",29.91,102.23,5285203,"Pinus armandii"
2417703812,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417704402,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417705384,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417705594,"Pinus armandii Franch.",29.91,102.23,5285203,"Pinus armandii"
2417705778,"Pinus armandii Franch.",29.91,102.23,5285203,"Pinus armandii"
2417706772,"Pinus armandii Franch.",29.85,95.76,5285203,"Pinus armandii"
2417706857,"Pinus armandii Franch.",29.91,102.23,5285203,"Pinus armandii"
2417745146,"Pinus armandii Franch.",29.99,100.26,5285203,"Pinus armandii"
2465003503,"Pinus armandii Franch.",31.667867,102.807482,5285203,"Pinus armandii"
2579383850,"Pinus armandii Franch.",26.325384,99.255373,5285203,"Pinus armandii"
2609136775,"Pinus armandii Franch.",26.760175,99.687365,5285203,"Pinus armandii"
2825621899,"Pinus armandii Franch.",27.758083,98.577581,5285203,"Pinus armandii"
3027983831,"Pinus armandii Franch.",29.9144,94.7987,5285203,"Pinus armandii"
3028086826,"Pinus armandii Franch.",28.2748,99.1825,5285203,"Pinus armandii"
3455272717,"Pinus armandii Franch.",26.765088,99.638672,5285203,"Pinus armandii"
3866740914,"Pinus armandii Franch.",27.428889,99.844444,5285203,"Pinus armandii"
574672592,"Pinus armandii Franch.",29.100778,101.504194,5285203,"Pinus armandii"
574697703,"Pinus armandii Franch.",29,92,5285203,"Pinus armandii"
574700074,"Pinus armandii Franch.",27.757472,98.578222,5285203,"Pinus armandii"
