"key","Name","speciesKey.x","Name_new","X","Y","geometry"
3455272717,"Pinus armandii Franch.",5285203,"Pinus armandii",99.638672,26.765088,99.638672|26.765088
3866740914,"Pinus armandii Franch.",5285203,"Pinus armandii",99.844444,27.428889,99.844444|27.428889
574672592,"Pinus armandii Franch.",5285203,"Pinus armandii",101.504194,29.100778,101.504194|29.100778
574697703,"Pinus armandii Franch.",5285203,"Pinus armandii",92,29,92|29
574700074,"Pinus armandii Franch.",5285203,"Pinus armandii",98.578222,27.757472,98.578222|27.757472
574710309,"Pinus armandii Franch.",5285203,"Pinus armandii",100.037778,27.501944,100.037778|27.501944
574712422,"Pinus armandii Franch.",5285203,"Pinus armandii",94,29,94|29
574977226,"Pinus armandii var. armandii",5285203,"Pinus armandii",98.6575,27.631944,98.6575|27.631944
575107830,"Pinus armandii Franch.",5285203,"Pinus armandii",101.504167,29.100833,101.504167|29.100833
575190769,"Pinus armandii Franch.",5285203,"Pinus armandii",99.75,28.266667,99.75|28.266667
615371133,"Pinus armandii Franch.",5285203,"Pinus armandii",94.88,29.95,94.88|29.95
615371135,"Pinus armandii Franch.",5285203,"Pinus armandii",94.9,30,94.9|30
615371142,"Pinus armandii Franch.",5285203,"Pinus armandii",102.78,31.67,102.78|31.67
919588235,"Pinus armandii Franch.",5285203,"Pinus armandii",98.911543,28.48611,98.911543|28.48611
919591270,"Pinus armandii Franch.",5285203,"Pinus armandii",98.66582,27.740736,98.66582|27.740736
