FID,InclProb,POINT_X,POINT_Y
0,0.1879230,99.662499509499995,26.645833715500000
1,0.1227710,96.379166307500000,30.162500241499998
2,0.2310520,95.145833023500003,29.387500272499999
3,0.4750470,97.945832911500005,27.887500332500000
4,0.7489280,101.679166094999999,29.554166932499999
5,0.7425560,101.454166103999995,29.920833584499999
6,0.7983010,102.262499405000000,29.629166929499998
7,0.1878610,101.904166086000004,27.920833664500002
8,0.4431540,98.220832900500000,27.279167023500001
9,0.0729551,98.304166230500002,29.362500273500000
10,0.2165280,100.129166157000000,27.237500358500000
11,0.1216920,95.945832991499998,29.137500282500000
12,0.9308500,102.279166071999995,30.195833573500000
13,0.7653160,99.045832867499996,27.729167005499999
14,0.0993376,102.187499407999994,31.737500178499999
15,0.3003670,98.454166224500000,28.862500293499998
16,0.3051910,103.020832708000000,30.579166891500002
17,0.0210568,92.529166461499997,28.412500311500001
18,0.0914982,94.937499698500005,28.895833625500000
19,0.0783146,104.070832666000001,31.895833505500001
20,0.3816620,98.804166210500000,28.745833631499998
21,0.4726990,101.162499448999995,30.095833577499999
22,0.3901760,101.104166117999995,29.712500259500001
23,0.1275010,99.645832843500003,26.354167060500000
24,0.5656960,98.979166203500000,28.445833643499999
25,0.6091070,101.454166103999995,29.537500266500000
26,0.0300350,92.004166482499997,28.445833643499999
27,0.5592410,99.412499519500003,27.479167015500000
28,0.7199950,101.437499438000003,30.145833575499999
29,0.6254560,98.245832899500002,28.120833656500000
30,0.9015190,101.820832756000001,29.745833591499999
31,0.0198324,102.612499391000000,28.662500301500000
32,0.3617900,99.462499517500007,28.487500308500000
33,0.1379550,102.095832744999996,28.004166994500000
34,0.1997130,101.612499431000003,31.154166868499999
35,0.7478320,102.570832726000006,30.045833579500002
36,0.3529020,101.220832779999995,30.587500224500001
37,0.2981270,99.729166173500005,27.137500362499999
38,0.0504458,102.204166074000000,32.062500165499998
39,0.9950990,101.954166084999997,30.004166914500001
40,0.7331030,98.837499542499998,28.162500321500001
41,0.4925210,101.970832750000000,29.170833614500001
42,0.0911250,98.320832896499994,26.520833720500001
43,0.3981410,102.437499398000000,31.029166873499999
44,0.2479370,101.404166106000005,28.487500308500000
45,0.6291460,102.545832727000004,29.645833595500001
46,0.0290102,92.262499805499999,28.479166975500000
47,0.2741500,101.162499448999995,28.170833654500001
48,0.0158577,91.129166517499996,28.720833632500000
49,0.2067600,99.879166167500003,26.854167040499998
50,0.7943140,102.329166068999996,30.529166893500001
51,0.5493580,98.304166230500002,28.412500311500001
52,0.1183560,97.370832934500001,29.079166951500000
53,0.0281442,101.520832768999995,31.662500181500000
54,0.1564770,100.754166131999995,28.662500301500000
55,0.6430660,101.445832770999999,30.395833565499998
56,0.6565080,98.779166211499998,28.329166981499998
57,0.3048390,97.670832922499997,28.145833655499999
58,0.1368750,94.479166383500001,30.337500234499998
59,0.2203370,100.845832795999996,27.437500350499999
60,0.4189360,101.845832755000004,30.987500208499998
61,0.2005020,98.412499559500006,26.704167046500000
62,0.0765413,103.087499371999996,29.337500274500002
63,0.3959250,102.895832713000004,29.837500254500000
64,0.5868050,99.354166188500002,27.470833682500000
65,0.9091340,101.779166091999997,30.279166903499998
66,0.0994477,104.087499331999993,31.312500195500000
67,0.6594740,102.137499410000004,29.379166939499999
68,0.1923530,94.470833050500005,29.520833600500001
69,0.3274760,99.654166176499999,28.329166981499998
70,0.6777270,98.512499555500000,27.537500346500000
71,0.2857300,102.445832730999996,29.087500284499999
72,0.9217970,102.304166069999994,30.012500247500000
73,0.2155810,95.554166340500004,29.395833605499998
74,0.2133150,94.812499703499995,30.179166907500001
75,0.1336010,94.045833067499998,29.354166940500001
76,0.2434780,99.837499502499995,28.287500316500001
77,0.7575500,98.704166214500006,27.629167009500001
78,0.6072700,102.654166055999994,29.795833589499999
79,0.1058080,101.587499432000001,27.079167031499999
80,0.1981790,100.112499490999994,27.079167031499999
81,0.8386820,101.912499419000000,30.504166894499999
82,0.6444070,98.562499553500004,28.329166981499998
83,0.1841320,101.870832754999995,28.454166976500002
84,0.7606070,102.520832728000002,30.370833566500000
85,0.3383960,99.262499525500004,26.895833705499999
86,0.1027870,96.562499633499996,29.729166925500000
87,0.4499180,97.912499579499993,28.154166988499998
88,0.6207370,99.229166193500006,28.195833653499999
89,0.2796650,101.345832775000005,28.095833657499998
90,0.2238590,100.520832807999994,28.120833656500000
91,0.9100800,101.729166093000003,29.870833586500002
92,0.1526240,99.779166171499995,26.512500387500001
93,0.7261850,98.579166219499996,28.129166989500000
94,0.6914250,101.845832755000004,29.404166938500001
95,0.4929860,99.370832854499994,28.320833648499999
96,0.1588640,100.204166154999996,26.912500371499998
97,0.2006310,101.879166087000002,28.112500323500001
98,0.5805950,98.212499567500004,27.645833675500000
99,0.0884653,103.454166024000003,30.437500230500000
100,0.1129630,100.954166123999997,29.037500286499998
101,0.9494060,101.937499418000002,30.295833569500001
102,0.7331280,98.979166203500000,28.120833656500000
103,0.4917970,102.204166074000000,29.212500279499999
104,0.7480260,99.054166200500006,27.637500342500001
105,0.4654510,102.554166060000000,29.395833605499998
106,0.6937040,102.254166072000004,30.712500219500001
107,0.2623370,97.754166252499999,28.554166972499999
108,0.4660090,101.637499430999995,29.195833613500000
109,0.1363220,97.337499602500003,28.795833629499999
110,0.0463117,103.004166041999994,34.904166718500001
111,0.5100580,101.195832781999997,29.895833585500000
112,0.1569700,96.220832980500006,30.095833577499999
113,0.3575660,101.312499443999997,30.704166886500001
114,0.3709850,99.087499532500004,28.704166966500001
115,0.3925830,97.829166249500005,27.812500335500001
116,0.5041850,99.570832846499997,27.812500335500001
117,0.4190300,98.412499559500006,27.087500364499999
118,0.0866037,99.012499535499998,29.329166941499999
119,0.2156200,100.354166148000004,28.079166991499999
120,0.5314180,99.379166187500005,27.354167020500000
121,0.0265683,94.754166372499995,30.970833542499999
122,0.4561990,99.279166191499996,28.470833642500001
123,0.1454670,101.987499416999995,27.670833674499999
124,0.4599270,98.187499568500002,27.354167020500000
125,0.8543340,102.395832733000006,30.304166902500000
126,0.9882830,102.120832743999998,30.104166910499998
127,0.1474400,95.379166347500004,30.570833558499999
128,0.0574692,103.487499356000001,34.837500054499998
129,0.2287900,101.312499443999997,28.987500288500001
130,0.2701510,101.145832783000003,28.229166985500001
131,0.1464380,95.862499661499996,30.495833561500000
132,0.2699160,95.320833016500004,29.629166929499998
133,0.3102240,97.679166255499993,27.912500331499999
134,0.0473335,104.079165998999997,32.295833489499998
135,0.6260360,99.379166187500005,27.837500334500000
136,0.0760105,96.587499632499998,30.262500237499999
137,0.5953180,101.287499444000005,30.070833578500000
138,0.1713830,95.504166342500000,29.204166946499999
139,0.8475700,101.970832750000000,29.604166930500000
140,0.1519870,94.112499731499994,29.887500252500001
141,0.2471040,94.812499703499995,29.629166929499998
142,0.3029650,99.420832852499998,28.637500302500001
143,0.0728237,98.354166228500006,29.362500273500000
144,0.8185390,102.445832730999996,29.920833584499999
145,0.2986520,101.112499451000005,30.512500227499999
146,0.2963770,99.804166170499997,27.254167024499999
147,0.9443930,101.912499419000000,29.804166922499999
148,0.2640840,95.554166340500004,29.754166924500002
149,0.7716580,98.762499545500006,28.037500326499998
150,0.5257800,101.845832755000004,29.212500279499999
151,0.2196870,94.670833042500007,30.004166914500001
152,0.1518240,98.195832901499998,29.087500284499999
153,0.2748700,101.170832782000005,27.945833663500000
154,0.1021500,96.962499617500001,28.945833623500000
155,0.8979780,102.162499409999995,30.412500231500001
156,0.5140580,98.095832905500004,28.304166982500000
157,0.0716531,94.645833043500005,28.787500296499999
158,0.3979830,99.729166173500005,27.754167004500001
159,0.5030320,98.912499539500004,27.095833697500002
160,0.5250480,102.720832720000004,30.612500223500000
161,0.2071580,95.954166324499994,30.054166912500001
162,0.2338630,99.470832850500003,28.745833631499998
163,0.2627950,95.045833027499995,29.587500264500001
164,0.2780450,97.629166257500003,28.179166987500000
