Species number,lat,lon,Distribution point
69,37.14258,109.67538,"Yongping Town, Yanchuan County, Yan'an City, Shaanxi Province, China"
70,30.606558,109.722519,"Jianshi County, Enshi Tujia and Miao Autonomous Prefecture, Hubei Province, China"
71,34.51259,109.7719,"Huazhou District, Weinan City, Shaanxi Province, China"
72,34.51259,109.7719,"Huazhou District, Weinan City, Shaanxi Province, China"
73,30.187571,109.815437,"Enshi City, Enshi Tujia and Miao Autonomous Prefecture, Hubei Province, China"
74,35.58429,109.838791,"Huanglong County, Yan'an City, Shaanxi Province, China"
75,40.65654,109.861137,"Qingshan District, Baotou City, Inner Mongolia Autonomous Region, China"
76,33.562138,109.89109,"Shanyang County, Shangluo City, Shaanxi Province, China"
77,33.857624,109.939502,"Shangzhou District, Shangluo City, Shaanxi Province, China"
78,39.087589,109.94416,"Erlinhu Town, Shenmu City, Yulin City, Shaanxi Province, China"
79,34.531349,110.079742,"Huashan Town, Huayin City, Weinan City, Shaanxi Province, China"
80,34.060481,110.138969,"Banqiao Town, Shangzhou District, Shangluo City, Shaanxi Province, China"
81,40.557343,110.524239,"Tumed Right Banner, Baotou City, Inner Mongolia Autonomous Region, China"
82,31.749263,110.678158,"Shennongjia forest region, Hubei Province, China"
83,39.645626,110.886276,"Zhungeer banner, Ordos City, Inner Mongolia Autonomous Region, China"
84,34.124595,110.909042,"Lushi County, Sanmenxia City, Henan Province, China"
85,31.062394,110.92388,"Deng Cun Xiang, Yiling District, Yichang City, Hubei Province, China"
86,36.693819,110.949383,"Longquan Town, Xi county, Linfen City, Shanxi Province, China"
87,38.456681,111.130571,"Weifen Town, Xing County, Luliang City, Shanxi Province, China"
88,40.723022,111.13562,"Tumed Left Banner, Hohhot, Inner Mongolia Autonomous Region, China"
89,40.733022,111.13762,"Tumed Left Banner, Hohhot, Inner Mongolia Autonomous Region, China"
90,37.326489,111.143532,"Chenjiawan Township, Liulin County, Luliang City, Shanxi Province, China"
91,37.51761,111.15081,"Lishi District, Luliang City, Shanxi Province, China"
