name,longitude,latitude,prov,date,key
Pinus tabuliformis Carrière,105.6,33.32,gbif,1980/1/1,2417560762
Pinus tabuliformis Carrière,105.73,33.73,gbif,1980/1/1,2417592398
Pinus tabuliformis Carrière,105.73,33.73,gbif,1980/1/1,2417592721
Pinus tabuliformis Carrière,104.68,32.94,gbif,1980/1/1,2417607170
Pinus tabuliformis Carrière,106.93,32.99,gbif,1979/1/1,2417371642
Pinus tabuliformis Carrière,-106.365552,31.720666,gbif,1977/4/7,3413513502
Pinus tabuliformis Carrière,-119.13611,46.21139,gbif,1975/5/22,1931114906
Pinus tabuliformis Carrière,-119.13611,46.21139,gbif,1975/5/22,1931279144
Pinus tabuliformis Carrière,118.79,32.05,gbif,1975/1/1,2417364120
Pinus tabuliformis Carrière,118.79,32.05,gbif,1975/1/1,2417366216
Pinus tabuliformis Carrière,118.79,32.05,gbif,1975/1/1,2417366971
Pinus tabuliformis Carrière,102.54,30.91,gbif,1975/1/1,2417745141
Pinus tabuliformis Carrière,108.22,23.22,gbif,1974/1/1,2417675542
Pinus tabuliformis Carrière,119.34,41.59,gbif,1973/1/1,2417457501
Pinus tabuliformis Carrière,114.06,36.67,gbif,1973/1/1,2417671888
Pinus tabuliformis Carrière,117.09,40.5,gbif,1972/1/1,2417493782
Pinus tabuliformis Carrière,117.52,42.09,gbif,1971/1/1,2417407527
Pinus tabuliformis Carrière,117.88,41.02,gbif,1971/1/1,2417597910
Pinus tabuliformis Carrière,115.22,40.08,gbif,1971/1/1,2417721893
Pinus tabuliformis Carrière,109.41,31.05,gbif,1968/1/1,2417454931
Pinus tabuliformis Carrière,-106.619196,35.083956,gbif,1966/2/18,1843857326
Pinus tabuliformis Carrière,-106.619196,35.083956,gbif,1966/2/18,1843857397
Pinus tabuliformis Carrière,102.15,36.85,gbif,1965/1/1,2417308457
Pinus tabuliformis Carrière,104.23,33.26,gbif,1964/1/1,2417292440
Pinus tabuliformis Carrière,109.93,40.64,gbif,1964/1/1,2417360538
Pinus tabuliformis Carrière,102.89,37.47,gbif,1964/1/1,2417387618
Pinus tabuliformis Carrière,109.41,31.05,gbif,1964/1/1,2417456879
Pinus tabuliformis Carrière,109.41,31.05,gbif,1964/1/1,2417458645
Pinus tabuliformis Carrière,109.88,33.53,gbif,1964/1/1,2417508686
Pinus tabuliformis Carrière,109.88,33.53,gbif,1964/1/1,2417510964
Pinus tabuliformis Carrière,116.58,40.64,gbif,1964/1/1,2417586348
Pinus tabuliformis Carrière,112.18,35.69,gbif,1964/1/1,2417686926
Pinus tabuliformis Carrière,112.33,36.5,gbif,1964/1/1,2417687651
Pinus tabuliformis Carrière,112.33,36.5,gbif,1964/1/1,2417689068
Pinus tabuliformis Carrière,112.33,36.5,gbif,1964/1/1,2417691561
Pinus tabuliformis Carrière,112.33,36.5,gbif,1964/1/1,2417693393
Pinus tabuliformis Carrière,112.33,36.5,gbif,1964/1/1,2417695011
Pinus tabuliformis Carrière,105.72,34.56,gbif,1963/1/1,2417445831
Pinus tabuliformis Carrière,105.72,34.56,gbif,1963/1/1,2417447913
Pinus tabuliformis Carrière,109.88,33.53,gbif,1963/1/1,2417507191
Pinus tabuliformis Carrière,109.88,33.53,gbif,1963/1/1,2417512724
Pinus tabuliformis Carrière,4.433055,50.766111,gbif,1962/1/27,1840510885
Pinus tabuliformis Carrière,111.22,35.14,gbif,1962/1/1,2417434128
Pinus tabuliformis Carrière,119.34,41.59,gbif,1962/1/1,2417458397
Pinus tabuliformis Carrière,110.85,26.43,gbif,1962/1/1,2417614092
Pinus tabuliformis Carrière,108.31,33.31,gbif,1961/1/1,2417465951
Pinus tabuliformis Carrière,118.2,40.99,gbif,1961/1/1,2417597813
Pinus tabuliformis Carrière,110.84,35.97,gbif,1960/1/1,2417303031
Pinus tabuliformis Carrière,114.08,32.1,gbif,1960/1/1,2417324172
Pinus tabuliformis Carrière,114.08,32.1,gbif,1960/1/1,2417324553
Pinus tabuliformis Carrière,103.75,36.07,gbif,1960/1/1,2417329985
Pinus tabuliformis Carrière,112.03,33.96,gbif,1960/1/1,2417533894
Pinus tabuliformis Carrière,108.31,30.7,gbif,1959/1/1,2417268340
Pinus tabuliformis Carrière,113.43,38.79,gbif,1959/1/1,2417305657
Pinus tabuliformis Carrière,113.43,38.79,gbif,1959/1/1,2417306031
Pinus tabuliformis Carrière,113.43,38.79,gbif,1959/1/1,2417308303
Pinus tabuliformis Carrière,113.43,38.79,gbif,1959/1/1,2417309214
Pinus tabuliformis Carrière,103.75,36.07,gbif,1959/1/1,2417330127
Pinus tabuliformis Carrière,119.4,41.24,gbif,1959/1/1,2417354527
Pinus tabuliformis Carrière,119.4,41.24,gbif,1959/1/1,2417354593
Pinus tabuliformis Carrière,119.4,41.24,gbif,1959/1/1,2417355173
Pinus tabuliformis Carrière,111.04,34.05,gbif,1959/1/1,2417375171
Pinus tabuliformis Carrière,111.04,34.05,gbif,1959/1/1,2417375440
Pinus tabuliformis Carrière,111.04,34.05,gbif,1959/1/1,2417377473
Pinus tabuliformis Carrière,111.04,34.05,gbif,1959/1/1,2417378663
Pinus tabuliformis Carrière,111.67,35.29,gbif,1959/1/1,2417408279
Pinus tabuliformis Carrière,111.67,35.29,gbif,1959/1/1,2417409088
Pinus tabuliformis Carrière,108.62,31.82,gbif,1959/1/1,2417415750
Pinus tabuliformis Carrière,112.1,34.49,gbif,1959/1/1,2417483376
Pinus tabuliformis Carrière,109.36,32.38,gbif,1959/1/1,2417548495
Pinus tabuliformis Carrière,118.2,40.99,gbif,1959/1/1,2417595975
Pinus tabuliformis Carrière,118.2,40.99,gbif,1959/1/1,2417602685
Pinus tabuliformis Carrière,115.24,39.31,gbif,1959/1/1,2417625193
Pinus tabuliformis Carrière,124.17,41.19,gbif,1959/1/1,2417636916
Pinus tabuliformis Carrière,103.09,38.62,gbif,1959/1/1,2417674228
Pinus tabuliformis Carrière,102.64,37.92,gbif,1959/1/1,2417676233
Pinus tabuliformis Carrière,112.69,36.75,gbif,1959/1/1,2417688313
Pinus tabuliformis Carrière,108.85,27.69,gbif,1959/1/1,2417688490
Pinus tabuliformis Carrière,112.69,36.75,gbif,1959/1/1,2417688691
Pinus tabuliformis Carrière,117.08,36.2,gbif,1959/1/1,2417707643
Pinus tabuliformis Carrière,116.21,40.02,gbif,1959/1/1,2417718035
Pinus tabuliformis Carrière,116.21,40.02,gbif,1959/1/1,2417718145
Pinus tabuliformis Carrière,116,39.47,gbif,1959/1/1,2417720281
Pinus tabuliformis Carrière,116.21,40.02,gbif,1959/1/1,2417720632
Pinus tabuliformis Carrière,114.71,39.36,gbif,1959/1/1,2417721198
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.24,33.03,gbif,1959/1/1,2417759936
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.24,33.03,gbif,1959/1/1,2417763102
Pinus tabuliformis Carrière,119.4,41.24,gbif,1958/1/1,2417354283
Pinus tabuliformis Carrière,102.89,37.47,gbif,1958/1/1,2417383710
Pinus tabuliformis Carrière,108.62,31.82,gbif,1958/1/1,2417414114
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417417112
Pinus tabuliformis Carrière,108.62,31.82,gbif,1958/1/1,2417417415
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417423812
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1958/1/1,2417433963
Pinus tabuliformis Carrière,107.24,33.97,gbif,1958/1/1,2417449306
Pinus tabuliformis Carrière,109.41,31.05,gbif,1958/1/1,2417457061
Pinus tabuliformis Carrière,109.41,31.05,gbif,1958/1/1,2417459567
Pinus tabuliformis Carrière,109.11,35.39,gbif,1958/1/1,2417479549
Pinus tabuliformis Carrière,102.81,30.36,gbif,1958/1/1,2417483344
Pinus tabuliformis Carrière,102.36,30.99,gbif,1958/1/1,2417507235
Pinus tabuliformis f. jeholensis Liou & Z.Wang,109.72,30.6,gbif,1958/1/1,2417569221
Pinus tabuliformis f. jeholensis Liou & Z.Wang,109.47,30.29,gbif,1958/1/1,2417590863
Pinus tabuliformis Carrière,123.41,41.82,gbif,1958/1/1,2417696915
Pinus tabuliformis Carrière,113.72,36.6,gbif,1958/1/1,2417719619
Pinus tabuliformis Carrière,111.91,37.02,gbif,1957/1/1,2417312457
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417342376
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417342949
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417343683
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417344433
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417346897
Pinus tabuliformis f. jeholensis Liou & Z.Wang,110.78,31.33,gbif,1957/1/1,2417347399
Pinus tabuliformis Carrière,112.03,33.96,gbif,1957/1/1,2417531236
Pinus tabuliformis Carrière,112.41,34.08,gbif,1957/1/1,2417682040
Pinus tabuliformis Carrière,104.21,35.13,gbif,1957/1/1,2417726839
Pinus tabuliformis f. jeholensis Liou & Z.Wang,108.62,31.82,gbif,1956/1/1,2417415278
Pinus tabuliformis Carrière,107.24,33.97,gbif,1956/1/1,2417452853
Pinus tabuliformis Carrière,115.1,40.49,gbif,1956/1/1,2417486524
Pinus tabuliformis Carrière,120.56,36.19,gbif,1956/1/1,2417532110
Pinus tabuliformis Carrière,112.03,33.96,gbif,1956/1/1,2417532157
Pinus tabuliformis Carrière,112.03,33.96,gbif,1956/1/1,2417537286
Pinus tabuliformis Carrière,116.17,40.21,gbif,1956/1/1,2417621987
Pinus tabuliformis Carrière,116.17,40.21,gbif,1956/1/1,2417623838
Pinus tabuliformis Carrière,113.4,32.36,gbif,1956/1/1,2417653339
Pinus tabuliformis Carrière,113.4,32.36,gbif,1956/1/1,2417653586
Pinus tabuliformis Carrière,104.11,35.84,gbif,1956/1/1,2417660279
Pinus tabuliformis Carrière,117.08,36.2,gbif,1956/1/1,2417707397
Pinus tabuliformis Carrière,116.21,40.02,gbif,1956/1/1,2417723659
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417274689
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417274851
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417275870
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417276497
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417277407
Pinus tabuliformis Carrière,111.17,37.35,gbif,1955/1/1,2417278181
Pinus tabuliformis Carrière,111.57,38.7,gbif,1955/1/1,2417509899
Pinus tabuliformis Carrière,117.08,36.2,gbif,1955/1/1,2417702387
Pinus tabuliformis Carrière,114.08,32.1,gbif,1954/1/1,2417329579
Pinus tabuliformis Carrière,114.08,32.1,gbif,1954/1/1,2417331231
Pinus tabuliformis Carrière,114.61,27.39,gbif,1954/1/1,2417471299
Pinus tabuliformis Carrière,102.81,30.36,gbif,1954/1/1,2417485940
Pinus tabuliformis Carrière,111.77,36.84,gbif,1954/1/1,2417728750
Pinus tabuliformis Carrière,111.77,36.84,gbif,1954/1/1,2417730895
Pinus tabuliformis Carrière,111.77,36.84,gbif,1954/1/1,2417733331
Pinus tabuliformis Carrière,107.84,34.15,gbif,1954/1/1,2417753841
Pinus tabuliformis Carrière,115.47,38.86,gbif,1953/1/1,2417325611
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417459476
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417460156
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417461114
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417461198
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417461774
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417462057
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417462386
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417462726
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417463122
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417465706
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417465777
Pinus tabuliformis Carrière,112.3,39,gbif,1953/1/1,2417466113
Pinus tabuliformis Carrière,106.69,35.52,gbif,1953/1/1,2417549302
Pinus tabuliformis Carrière,108.35,35.49,gbif,1953/1/1,2417667102
Pinus tabuliformis Carrière,107.3,36.57,gbif,1953/1/1,2417736949
Pinus tabuliformis Carrière,107.99,33.52,gbif,1952/1/1,2417320018
Pinus tabuliformis Carrière,107.99,33.52,gbif,1952/1/1,2417321996
Pinus tabuliformis Carrière,110.09,34.56,gbif,1952/1/1,2417367165
Pinus tabuliformis Carrière,110.09,34.56,gbif,1952/1/1,2417367302
Pinus tabuliformis Carrière,110.09,34.56,gbif,1952/1/1,2417370256
Pinus tabuliformis Carrière,117.52,42.09,gbif,1952/1/1,2417406235
Pinus tabuliformis Carrière,117.52,42.09,gbif,1952/1/1,2417406745
Pinus tabuliformis Carrière,102.81,30.36,gbif,1952/1/1,2417487135
Pinus tabuliformis Carrière,117.09,40.5,gbif,1952/1/1,2417489084
