name,X,Y,occID
Pinus armandii Franch.,160763.94552671717,3619947.7176798475,1
Pinus armandii Franch.,54941.99125813802,3545347.616305165,2
NA,-74636.75024073817,2689020.4712292436,3
NA,397302.72088242404,3143907.0706527266,4
NA,314729.6579682664,2844573.9877069523,5
NA,303035.30510017317,3178737.8477046723,6
NA,-70561.09067680607,3538688.65408389,7
NA,427465.8370101418,3180270.383326033,8
NA,-656563.9046259706,2637791.002339591,9
NA,603287.4859498357,3008418.437480615,10
NA,186474.68255635488,3517769.72958691,11
NA,-273493.3722138065,2801000.348122627,12
NA,-163745.28293181089,3294368.1884646807,13
NA,445520.51470433356,3579819.886718869,14
NA,39313.85400058016,2628454.239596676,15
NA,601237.6661004162,3632924.4405091167,16
NA,303484.17927498807,2982012.3754448816,17
NA,119711.41799548626,3422990.6612441475,18
NA,78072.79578832294,3445805.5516790985,19
NA,121056.32760654269,3092829.468585178,20
NA,-181575.73399603696,2986162.749804631,21
NA,-274417.3413367071,3011999.519476727,22
NA,294529.6900771942,2793813.551773111,23
NA,175267.1670070291,3580464.94316775,24
NA,402596.1814073496,3640932.000705198,25
NA,557914.1598401828,3213080.326110233,26
NA,167105.86246177732,2438093.8161886833,27
NA,-248693.546349493,3286123.1618891507,28
NA,403770.7307691959,3448096.942611006,29
NA,424529.8145690334,3213744.2818398187,30
NA,-451760.40346179623,3181304.7684984016,31
NA,502610.919822761,3302220.384585873,32
NA,-148228.11759931807,3701328.5151421507,33
NA,-148514.89077286443,3701032.957403164,34
NA,-87598.22008065677,3670868.268972856,35
NA,586203.5522234639,3681704.1671759984,36
NA,-434800.50832256896,2580825.232088114,37
NA,842858.586630427,3446264.9614137304,38
NA,-47616.31896838048,3716866.206388183,39
Pinus armandii Franch.,-232130.9852742138,2618050.180277772,40
Pinus armandii Franch.,-231382.0203404715,3276903.1495119045,41
NA,-1573666.4487343878,3017565.0381936897,42
NA,273075.2503270592,3571852.5248970003,43
NA,458718.63556785125,3696880.3451511012,44
NA,405943.86870666925,3686416.3015171313,45
NA,105303.76940647466,3545791.48607646,46
NA,303079.9422351887,3549106.5841435515,47
NA,66505.82314112673,3591676.4674924966,48
NA,313221.3905250286,3256089.8424492893,49
NA,65451.66966726699,3686340.049268419,50
NA,-562478.1720946216,2872105.5283001056,51
Pinus armandii Franch.,-6722.102367528798,3553349.0218179272,54
NA,40300.92096025781,2628835.6143027316,55
NA,542020.4621260739,3336826.009775633,56
NA,433120.39863650274,3335621.8170576696,57
NA,-479024.7659998149,2690277.4247612758,58
NA,-1016841.3865557807,3184684.3112168466,61
NA,480237.6871939616,3171221.215073172,62
NA,-264319.8663845455,3165231.4344052635,63
NA,-881169.7400219728,3195848.4651817656,64
NA,-181831.25399572207,2736423.0532990918,65
NA,542358.2533911515,3337025.8417551406,66
NA,-619568.5124782664,2938553.30069993,67
NA,-213519.64680656797,3181535.704900807,68
NA,-254936.20802247452,3087601.677750383,69
NA,-613893.9263123748,2726351.0774857006,70
NA,-517439.5506208166,2941773.93071038,71
NA,-471343.3277865285,2833697.79618637,72
NA,-503204.9948823237,2750064.562444488,73
NA,203446.19302087885,3620809.8142562024,74
NA,497233.11438873387,3330945.092750182,75
NA,-263866.3394503578,3165685.051321311,76
NA,-729510.9781712419,3049226.1199537935,77
NA,425398.88169349026,3214348.257105206,78
NA,303500.5159777291,3179134.5478618452,80
NA,-363299.0331421087,2946566.5607704967,81
NA,-102165.68086118379,2595503.57813309,82
NA,-590460.2707246684,3020172.2175267525,83
NA,771543.1369772969,3277864.234599574,84
NA,-273019.54436019756,2801579.795188851,85
NA,373873.62191917864,3211710.306473,86
NA,574415.0723521083,3384008.0937675354,87
NA,-163078.75569050334,3294806.2708061333,88
NA,589676.5005028468,3298781.6775867245,89
NA,-289117.1762144837,3182265.2784260865,90
NA,1050403.2611326217,3186099.347682866,91
NA,-289595.341252366,3181684.3861015933,92
NA,447525.4350658473,3417356.482630002,93
NA,-154406.8100459131,3115703.166034583,94
NA,415131.6478825408,3299310.8445616513,95
NA,887085.0325775967,3276576.5179360714,96
NA,415044.1273587364,3298780.3439255236,97
NA,457972.89292910014,3307540.5567478803,98
NA,282798.71936190367,3408439.7578556505,99
NA,64915.37406757689,3685354.1855172627,100
NA,-41315.83100078616,3446739.8999185604,101
NA,-240053.29271430554,2798401.951658594,102
NA,-337546.791492597,3065512.7919075033,103
NA,595386.5670284644,3787578.3061516387,104
NA,638094.6248561833,3639987.011183992,105
NA,-248254.84977352168,3287126.8445767765,106
NA,434048.80952077865,3335680.5235893074,107
NA,-215008.8674773906,3058176.4102926343,108
NA,170689.33657621112,3437761.664165294,109
NA,303480.6123737965,3549157.193964382,110
NA,547737.3437459647,3644210.243159453,111
NA,-79049.51788317447,2826467.2546739234,112
NA,302540.1834274884,2981521.699327436,113
NA,531404.5590331181,3696024.283454573,114
NA,447216.66742338514,3249860.1511022327,115
NA,338441.33358903346,3382821.879575305,116
NA,373272.96577644197,3211574.602286752,117
NA,337572.97398402815,3382328.49673987,118
NA,502553.8110921317,3301955.35204351,119
NA,446601.3741739754,3249613.6040047896,120
NA,-153572.09331174378,3116375.5564759714,121
NA,-86971.95729859915,3671774.4911500434,122
NA,111310.2476475594,2843322.7819082565,123
NA,-9897.69280070877,3703192.1938783936,124
NA,131775.30853877735,2800307.4302842254,125
NA,-240578.28886726563,2713346.010159206,126
NA,-107117.19263070979,3361165.650510088,127
NA,214114.13186638814,3529292.4689567797,130
NA,458838.35630031675,3308041.5410301266,131
NA,548424.574029914,3644726.712622114,132
