No.,Site,Site name,Longitude (°E),Latitude (°N),Elevation (m),Pinus松属,Pinus Diploxylon松属(双维管束),Pinus Haploxylon松属(单维管束),Pinus + Picea松属+云衫属,Pinus + Picea + Abies松属+云杉属+冷杉属,Pinus koraiensis红松,Pinus pumila偃松,Pinus sylvestris var mongolica樟子松
36,阿拉善高原-01-23,Alashan-01-23,99.667 ,41.850 ,970 ,0.00 ,1.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
37,阿拉善高原-01-24.131,Alashan-01-24.131,99.633 ,41.883 ,960 ,0.00 ,0.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
38,阿拉善高原-01-25,Alashan-01-25,99.633 ,41.933 ,1000 ,0.00 ,0.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
39,阿拉善高原-01-27,Alashan-01-27,100.983 ,41.667 ,900 ,0.00 ,0.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
40,阿里 1,Ali 1,90.620 ,31.960 ,4450 ,0.00 ,2.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
41,阿里 2,Ali 2,90.660 ,31.950 ,4585 ,0.00 ,1.79 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
42,阿里 3,Ali 3,90.620 ,31.960 ,4450 ,0.00 ,4.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
43,阿里 4,Ali 4,90.460 ,31.980 ,4520 ,0.00 ,3.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
44,阿里 5,Ali 5,90.730 ,31.960 ,4570 ,0.00 ,2.53 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
45,阿尔泰山 ATM01,Altai Mt ATM01,88.701 ,44.160 ,621 ,0.51 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
